"feature_id","domain","normalized_feature","representative_competitors","market_status","neocrm_coverage","current_spec_evidence","v0_1_value","long_term_value","implementation_effort","evidence_confidence","recommendation","proposed_value_model","primary_evidence"
"F-018","Sales","Signal-triggered intelligent follow-up","HubSpot; Zoho; Gong; 6sense; Outreach","GA/current","Partially covered","FR-TRIGGER-001; BC-04; Consent; Recommendation; Action","★★★☆☆","★★★★★","★★★★☆","High","Add experiment","Sales follow-through","https://www.hubspot.com/products/sales/ai-sales-prospecting"
"F-019","Sales","Meeting preparation and account research brief","Microsoft; Creatio; Apollo; Gong","GA/current","Covered","CAP-001 relationship brief; OBJ-076 Research; BC-01","★★★★★","★★★★☆","★★☆☆☆","High","Add experiment","Core relationship workspace","https://www.creatio.com/sales"
"F-020","Sales","Personalized email and message drafting","HubSpot; Apollo; Outreach; 6sense; Salesforce","GA/current","Partially covered","SAFE-AUTO-001 Level 2; Message; Consent; Action preview","★★★☆☆","★★★★☆","★★★☆☆","High","Add experiment","Sales follow-through","https://6sense.com/platform/email-agent/"
"F-021","Sales","Evidence-backed next-best relationship action","Gong; Outreach; 6sense; Demandbase; Zoho","GA/current","Partially covered","OBJ-062 Recommendation; OBJ-070 Insight; BC-04","★★★★★","★★★★★","★★★★☆","High","Add experiment","Sales intelligence","https://www.demandbase.com/products/sales-intelligence/"
"F-022","Sales","Opportunity health, deal risk, and evidence-gap detection","Gong; Clari; Microsoft; Creatio; Attio","GA/current","Partially covered","Insight; Signal; Opportunity; Relationship Workspace","★★★★☆","★★★★★","★★★★☆","High","Add experiment","Revenue analytics","https://www.gong.io/platform/revenue-forecasting-software"
"F-023","Sales","Pipeline inspection, stage history, and movement","Gong; Clari; Outreach; Salesforce; Pipedrive","GA/current","Partially covered","Opportunity/Deal; TimeSeries; Commercial Workspace","★★☆☆☆","★★★★☆","★★★★☆","High","Add semantic object/contracts after Rob approval","Revenue analytics","https://www.salesloft.com/platform/pipeline-inspection-software"
"F-024","Sales","Forecast submission, scenario, rollup, range, and explanation","Gong; Clari; Outreach; Salesforce; Creatio","GA/current","Partially covered","Opportunity and Outcome exist, but no Forecast or ForecastScenario","★☆☆☆☆","★★★★☆","★★★★★","High","Monitor","Revenue analytics","https://www.gong.io/platform/revenue-forecasting-software"
"F-025","Sales","Territory, quota, assignment, and capacity-aware routing","Salesforce; Creatio; Freshworks; Zoho","GA/current","Partially covered","Availability/Capacity/Workload exist; no Territory/Quota/Assignment semantics","★☆☆☆☆","★★★☆☆","★★★★☆","High","Monitor","Revenue operations","https://www.salesforce.com/sales/pricing/?bc=OTH&region=united-states"
"F-026","Sales","Account plan, mutual action plan, and buyer collaboration space","Outreach; Clari; Gainsight","GA/current","Partially covered","Goal; Plan; Commitment; Relationship Workspace","★★☆☆☆","★★★★☆","★★★☆☆","Medium","Clarify current spec","Account orchestration","https://support.outreach.io/support/solutions/articles/159000425447-smart-account-plan-overview"
"F-027","Sales","Contextual sales coaching and evidence-based call review","Gong; Outreach; Salesforce; Highspot; Freshworks","GA/current","Partially covered","EvaluationRun and LearningSignal exist; no coaching/competency contract","★★☆☆☆","★★★★☆","★★★★☆","High","Add experiment","Education and enablement","https://www.gong.io/conversation-intelligence"
"F-028","Sales","Role-play, simulation, competency, certification, and learning path","Salesforce; Highspot; Creatio","GA/current","Missing","No Skill/Competency/LearningPath/Simulation semantic family","★☆☆☆☆","★★★★☆","★★★★☆","High","Monitor","Education and enablement","https://help.salesforce.com/s/articleView?id=sales.sales_agents_coach_discover.htm&language=en_US&type=5"
"F-029","Sales","Contextual content and playbook recommendation","Highspot; Gong; Clari; Outreach","GA/current","Partially covered","OBJ-075 Knowledge; Plan; Insight; Recommendation","★★☆☆☆","★★★★☆","★★★☆☆","High","Add semantic object/contracts after Rob approval","Education and enablement","https://www.highspot.com/solutions/sales-enablement/"
"F-030","Marketing","Goal-to-campaign brief, audience, message, and plan generation","Salesforce; Marketo; Braze; Creatio","Mixed: GA/current + beta","Partially covered","Goal; OBJ-068 Campaign; OBJ-069 Audience; Plan","★★☆☆☆","★★★★☆","★★★★☆","High","Add experiment","Intelligent marketing follow","https://trailhead.salesforce.com/content/learn/modules/ai-in-marketing-cloud-next/create-and-customize-a-marketing-campaign-with-agentforce"
"F-031","Marketing","Predictive and behavioral audiences","Marketo; Salesforce; Freshworks; Braze; Zoho","GA/current","Partially covered","OBJ-069 Audience; OBJ-071 Signal; FR-CAMPAIGN-001","★★☆☆☆","★★★★☆","★★★★☆","High","Add semantic object/contracts after Rob approval","Intelligent marketing follow","https://experienceleague.adobe.com/en/docs/marketo/using/product-docs/core-marketo-concepts/predictive-audiences/getting-started-with-predictive-audiences"
"F-032","Marketing","Intent, web, event, and buying-stage signals","6sense; Demandbase; Apollo; HubSpot","GA/current","Partially covered","OBJ-071 Signal; OBJ-076 Research; provenance/freshness invariants","★★☆☆☆","★★★★★","★★★★☆","High","Add experiment","Data and signal fabric","https://6sense.com/platform/predictive-analytics/"
"F-033","Marketing","Adaptive cross-channel journey orchestration","Braze; Marketo; Salesforce; Microsoft; Zoho","GA/current","Partially covered","OBJ-066 Journey; Campaign; Trigger; FR-JOURNEY-001","★★☆☆☆","★★★★★","★★★★★","High","Add semantic object/contracts after Rob approval","Intelligent marketing follow","https://www.braze.com/product/journey-orchestration"
"F-034","Marketing","Channel, send-time, frequency, and next-best-experience optimization","Braze; Zoho; Microsoft; Marketo","Mixed: GA/current + preview","Partially covered","Preference; Consent; Signal; Insight; Recommendation","★☆☆☆☆","★★★★☆","★★★★★","High","Monitor","Intelligent marketing follow","https://www.braze.com/product/brazeai-decisioning-studio"
"F-035","Marketing","Content asset, key message, brand policy, and generated variant","Salesforce; Marketo; Braze; HubSpot","GA/current","Missing","Knowledge/Campaign exist; no ContentAsset/KeyMessage/BrandPolicy family","★★☆☆☆","★★★★☆","★★★★☆","High","Add semantic object/contracts after Rob approval","Content intelligence","https://experienceleague.adobe.com/en/docs/marketo/using/product-docs/email-marketing/email-designer/generate-content"
"F-036","Marketing","Consent, preference, suppression, purpose, quiet time, and contact policy","Microsoft; HubSpot; Salesforce; Braze; Zoho","GA/current","Covered","OBJ-064 Consent; OBJ-065 Preference; FR-CONSENT-001; SAFE-CONSENT-001","★★★★★","★★★★★","★★★★☆","High","Clarify current spec","Trust archive","https://learn.microsoft.com/en-us/dynamics365/customer-insights/journeys/journeys-overview"
"F-037","Marketing","Account-based marketing play orchestration","6sense; Demandbase; Marketo; Salesforce","GA/current","Partially covered","Relationship; Campaign; Audience; Journey; WorkItem","★☆☆☆☆","★★★★☆","★★★★★","High","Monitor","Account orchestration","https://www.demandbase.com/products/orchestration/"
"F-038","Marketing","Website/chat qualification, routing, booking, and handoff","Marketo; HubSpot; Salesforce; Intercom","GA/current","Partially covered","Conversation; Intent; Goal; Handoff; Consent","★★☆☆☆","★★★★☆","★★★★☆","High","Add experiment","Intelligent marketing follow","https://business.adobe.com/products/marketo/dynamic-chat.html"
"F-039","Marketing","Experiment, treatment, variant, assignment, holdout, and guardrail","Braze; Salesforce; Marketo; ActiveCampaign","GA/current","Partially covered","EvaluationRun; Campaign tests; Outcome learning architecture","★★☆☆☆","★★★★★","★★★★☆","High","Add semantic object/contracts after Rob approval","Experimentation and analytics","https://www.braze.com/product/journey-orchestration"
"F-040","Marketing","Attribution, incrementality, and causal-humility model","Marketo; HubSpot; Demandbase; Freshworks","GA/current","Partially covered","Outcome; EvaluationRun; canonical spec cautions on causal claims","★☆☆☆☆","★★★★★","★★★★★","High","Add semantic object/contracts after Rob approval","Experimentation and analytics","https://business.adobe.com/products/marketo/marketo-measure.html"
"F-041","Marketing","Campaign budget, pacing, and outcome optimization","Salesforce; Demandbase; Braze","Mixed: GA/current + pilot","Partially covered","Goal/Plan budgets; Campaign budget; Outcome","★☆☆☆☆","★★★☆☆","★★★★★","Medium","Monitor","Intelligent marketing follow","https://www.salesforce.com/news/stories/agentic-marketing-teams-announcement/"
"F-042","Marketing","Deliverability, sender reputation, bounce, and channel health","HubSpot; ActiveCampaign; Marketo","GA/current","Missing","No deliverability/reputation domain contract","★☆☆☆☆","★★★☆☆","★★★★☆","High","Monitor","Channel operations","https://www.activecampaign.com/platform/marketing-automation"
"F-043","Service and success","AI case classification, routing, resolution, escalation, and handoff","Salesforce; Microsoft; Zoho; Freshworks; Creatio","GA/current","Partially covered","OBJ-067 ServiceCase; FR-SERVICE-001; Handoff; Action","★☆☆☆☆","★★★★★","★★★★★","High","Monitor","Customer success and service guard","https://learn.microsoft.com/en-us/dynamics365/customer-service/use/use-case-creation-agent"
"F-044","Service and success","Knowledge-gap detection and reviewed article generation","HubSpot; Freshworks; Zoho; Creatio","Mixed: GA/current + beta","Partially covered","OBJ-075 Knowledge; Research; LearningSignal","★☆☆☆☆","★★★★☆","★★★☆☆","High","Monitor","Customer success and service guard","https://www.hubspot.com/products/service/ai-knowledge-base-agent"
"F-045","Service and success","Explainable customer health, adoption, and churn risk","HubSpot; Gainsight; Zoho; Freshworks","GA/current","Partially covered","Relationship Workspace health evidence; Insight; Signal; Outcome","★★☆☆☆","★★★★★","★★★★☆","High","Add experiment","Customer success and service guard","https://knowledge.hubspot.com/help-desk/customize-a-health-score-in-the-customer-success-workspace"
"F-046","Service and success","Success plan, onboarding milestones, objectives, and shared commitments","Gainsight; HubSpot; Outreach; Pipedrive","GA/current","Partially covered","Goal; Plan; Journey; Commitment; WorkItem","★★☆☆☆","★★★★☆","★★★☆☆","High","Add semantic object/contracts after Rob approval","Customer success and service guard","https://support.gainsight.com/gainsight_nxt/Getting_Started_for_Admins_and_End_Users/Gainsight_CS_Features_Overview"
"F-047","Service and success","Renewal, expansion, entitlement, and commercial-risk intelligence","HubSpot; Gainsight; Clari; Salesforce","GA/current","Partially covered","Contract; entitlement in ServiceCase; Event; Insight; Outcome","★☆☆☆☆","★★★★☆","★★★★☆","High","Monitor","Customer success and service guard","https://knowledge.hubspot.com/customer-success/use-the-customer-success-workspace"
"F-048","Service and success","Customer education, guided onboarding, and learning outcomes","Gainsight; HubSpot; Highspot","GA/current","Missing","No LearningPath/Curriculum/LearnerProgress semantics","★☆☆☆☆","★★★☆☆","★★★★☆","Medium","Monitor","Education and enablement","https://support.gainsight.com/gainsight_nxt/Getting_Started_for_Admins_and_End_Users/Gainsight_CS_Features_Overview"
"F-049","Service and success","Service quality, conversation trends, and root-cause intelligence","Freshworks; Creatio; Salesforce; Microsoft","GA/current","Partially covered","ServiceCase root-cause hypotheses; Insight; Outcome; LearningSignal","★☆☆☆☆","★★★★☆","★★★★☆","High","Monitor","Customer success and service guard","https://www.freshworks.com/freshdesk/ai/"
"F-050","Analytics","Semantic metric definition, owner, formula, grain, lineage, and version","Salesforce; Microsoft; Zoho Analytics","GA/current","Partially covered","Outcome measures exist; no MetricDefinition object","★★☆☆☆","★★★★★","★★★☆☆","High","Add semantic object/contracts after Rob approval","Experimentation and analytics","https://www.zoho.com/analytics/features/agentic-ai.html"
"F-051","Analytics","Natural-language analytics with show-work plan","Microsoft; Zoho; Salesforce; Pipedrive","Mixed: GA/current + preview","Partially covered","Insight Explorer; Evidence; ContextSnapshot; EvaluationRun","★★☆☆☆","★★★★☆","★★★★☆","High","Add experiment","Experimentation and analytics","https://learn.microsoft.com/en-us/dynamics365/sales/sales-research-agent"
"F-052","Analytics","Real-time anomaly and trend detection","Zoho; Freshworks; Salesforce","GA/current","Covered","OBJ-071 Signal explicitly includes anomaly/pattern/change","★☆☆☆☆","★★★★☆","★★★★☆","High","Add experiment","Experimentation and analytics","https://www.zoho.com/crm/ai-features-in-zoho-crm.html"
"F-053","Analytics","Predictive model registry, calibration, drift, and explainability","Salesforce; Microsoft; 6sense; Demandbase","GA/current","Partially covered","Method/version on Signal/Insight exists; no ModelDefinition/ModelVersion registry","★☆☆☆☆","★★★★★","★★★★★","High","Monitor","Experimentation and analytics","https://6sense.com/platform/predictive-analytics/"
"F-054","Analytics","Causal experiment evaluation and outcome learning","Braze; Marketo; Demandbase","GA/current","Partially covered","FR-OUT-001; FR-LEARN-001; EvaluationRun; outcome-learning architecture","★★☆☆☆","★★★★★","★★★★★","High","Add experiment","Experimentation and analytics","https://www.braze.com/product/brazeai-decisioning-studio"
"F-055","Archive and governance","Human-readable evidence, decision, action, and outcome archive","Attio; Outreach; Gong; Demandbase; Braze","GA/current","Partially covered","AuditEvent/EventEnvelope; Agent Audit Console; immutable audit requirement","★★★★★","★★★★★","★★★★☆","High","Add semantic object/contracts after Rob approval","Trust archive","https://attio.com/help/reference/automations/workflows/troubleshooting-workflows"
"F-056","Archive and governance","Retention schedule, legal hold, disposition, export, deletion, and proof","Salesforce; Microsoft; Gong","GA/current","Partially covered","BC-07; security-and-governance mandatory controls","★★★★☆","★★★★★","★★★★☆","High","Add semantic object/contracts after Rob approval","Trust archive","https://help.salesforce.com/s/articleView?id=sf.field_audit_trail.htm&language=en_US&type=5"
"F-057","Archive and governance","Field and configuration change history with before/after diff","Outreach; Salesforce; Creatio; Microsoft","GA/current","Partially covered","AuditEvent; Agent Audit Console; exact preview/version requirements","★★★★☆","★★★★★","★★★☆☆","High","Clarify current spec","Trust archive","https://support.outreach.io/support/solutions/articles/159000434715-outreach-product-release-notes-august-2026"
"F-058","Archive and governance","Agent session, plan, tool, policy, approval, error, and replay trace","Salesforce; Attio; Creatio; Outreach","GA/current","Partially covered","FR-AGT-001, AgentRun/AgentStep, PolicyDecision, and Agent Audit Console cover tracing; a replay contract and business-readable projection are not explicit","★★★★★","★★★★★","★★★★☆","High","Clarify current spec","Agent operations","https://help.salesforce.com/s/articleView?id=ai.generative_ai_session_trace.htm&language=en_US&type=5"
"F-059","Archive and governance","Agent usage, budget, cost, outcome, and value ledger","HubSpot; Salesforce; Creatio; Attio","GA/current","Partially covered","FR-AUTH-001 budgets; cost Outcome; Agent Audit Console","★★★★☆","★★★★★","★★★☆☆","High","Add semantic object/contracts after Rob approval","Agent operations","https://www.hubspot.com/products/artificial-intelligence/credits"
"F-060","Agent operations","No-code or conversational agent and skill builder","HubSpot; Zoho; Salesforce; Creatio; Braze","Mixed: GA/current + beta","Partially covered","AgentDefinition; AgentCapability; ToolGrant; version information","★★☆☆☆","★★★★★","★★★★★","High","Monitor","Agent operations","https://www.creatio.com/ai-studio"
"F-061","Agent operations","Tiered autonomy by action, object, system, risk, and evidence","Apollo; Pipedrive; Attio; Microsoft; Salesforce","GA/current","Covered","SAFE-AUTO-001; FR-ACT-001; Delegation; PolicyDecision","★★★★★","★★★★★","★★★★☆","High","Clarify current spec","Agent operations","https://www.apollo.io/product/intelligence"
"F-062","Agent operations","Supervisor agent, exception queue, work redistribution, and SLA management","Microsoft; Creatio; Salesforce; Freshworks","GA/current","Partially covered","WorkItem; Capacity; Workload; Human Work Queue; Handoff","★☆☆☆☆","★★★★☆","★★★★★","Medium","Monitor","Active management","https://www.creatio.com/service"
"F-063","Agent operations","Simulation, dry run, shadow mode, replay, and rollback/compensation","Microsoft; Attio; Salesforce","GA/current","Partially covered","EvaluationRun; exact preview; compensation Action; evidence-gated roadmap","★★★★★","★★★★★","★★★★☆","High","Add experiment","Agent operations","https://learn.microsoft.com/en-us/dynamics365/release-plan/2026wave1/service/dynamics365-customer-service/assess-case-management-agent-predictions-using-shadow-mode"
"F-064","Agent operations","Closed-loop learning with reviewed change proposals","Demandbase; Braze; Salesforce; HubSpot","GA/current","Covered","FR-LEARN-001; LearningSignal; outcome-learning architecture","★★★☆☆","★★★★★","★★★★★","High","Clarify current spec","Agent operations","https://www.demandbase.com/ai-agents/"
"F-065","Commercial","Catalog, CPQ, quote, approval, contract, order, and invoice handoff","Salesforce; Zoho; HubSpot; Creatio","GA/current","Partially covered","Product/Service/Offer/Opportunity/Deal/Contract; Approval; Action","★☆☆☆☆","★★★☆☆","★★★★★","High","Monitor","Commercial operations","https://www.salesforce.com/sales/revenue-lifecycle-management/pricing"
"F-066","Commercial","Subscription, entitlement, product usage, adoption, and renewal model","HubSpot; Salesforce; Pipedrive; Gainsight","GA/current","Partially covered","Contract entitlement; Event; TimeSeries; Journey; Outcome","★☆☆☆☆","★★★★☆","★★★★☆","High","Add semantic object/contracts after Rob approval","Customer success and service guard","https://www.hubspot.com/pricing/revenue?partnerId=407592"
"F-067","Commercial","Payments, billing, commerce, inventory, and fulfillment","HubSpot; Zoho; Salesforce; Microsoft","GA/current","Missing","Outside current semantic scope beyond Contract and Action adapters","★☆☆☆☆","★★☆☆☆","★★★★★","High","Monitor","Commercial operations","https://www.microsoft.com/en-us/dynamics-365/products/commerce/pricing"
"F-068","Commercial","Autonomous pricing, discount, and offer optimization","Salesforce; Microsoft; Braze","GA/current","Conflicts with current principles","SAFE-HARM-001; SAFE-AUTO-001; approval and customer-harm constraints","★☆☆☆☆","★★★☆☆","★★★★★","Medium","Reject/guardrail","Commercial operations","https://www.salesforce.com/sales/revenue-lifecycle-management/pricing"
